Points,Score,weigh,,Dispersion,Points,Score,Weigh
3.9,2.62,16.46,,Mean,3.596563,3.21725,17.84875
3.9,2.875,17.02,,Mode,3.92,3.44,17.02
3.85,2.32,18.61,,Median,3.695,3.325,17.71
3.08,3.215,19.44,,Variance,0.2858814,0.957379,3.193166
3.15,3.44,17.02,,Standard Deviation,0.5346787,0.9784574,1.786943
2.76,3.46,20.22,,Range,2.76 - 4.93,1.513 - 5.424,14.5 - 22.9
3.21,3.57,15.84,,Range Value(max-min),2.17,3.911,8.4
3.69,3.19,20,,,,,
3.92,3.15,22.9,,,,,
3.92,3.44,18.3,,,,,
3.92,3.44,18.9,,,,,
3.07,4.07,17.4,,,,,
3.07,3.73,17.6,,,,,
3.07,3.78,18,,,,,
2.93,5.25,17.98,,,,,
3,5.424,17.82,,,,,
3.23,5.345,17.42,,,,,
4.08,2.2,19.47,,,,,
4.93,1.615,18.52,,,,,
4.22,1.835,19.9,,,,,
3.7,2.465,20.01,,,,,
2.76,3.52,16.87,,,,,
3.15,3.435,17.3,,,,,
3.73,3.84,15.41,,,,,
3.08,3.845,17.05,,,,,
4.08,1.935,18.9,,,,,
4.43,2.14,16.7,,,,,
3.77,1.513,16.9,,,,,
4.22,3.17,14.5,,,,,
3.62,2.77,15.5,,,,,
3.54,3.57,14.6,,,,,
4.11,2.78,18.6,,,,,
